date,start_time,end_time,region,description
1404/05/16,10:35,***,بی برنامه,30- جاده کیاکلا از میدان فاضل تا انتها حوزه بابل روستای کپورچال(شهرک کیا مهر و مهر دشت، اخوان، کلمدان، نخ کلا، سلیمان کلا، قائمیه، کپور چال) و از جاده قایمشهر محله استردیکلا تا ورودی جاده کیاکلا منصور کنده
1404/05/16,10:35,***,بی برنامه,31- فیضیه 2، گلستان های 3 ،4، 9 و 13، ، شهرک صالحین، گلستان و صدف، بازگیر کلا کوچه های محسن پور غربی و کوچه های کمیل، یاسر و عمار
1404/05/16,10:35,***,بی برنامه,32-از میدان فاضل تا فیضیه 10 ، فیضیه 14 شهرک سجاد، محله حیدرکلا(حیدر(17 تا39و 26تا 40) بلوار نژاد اکبر تا حاجی کلا از میدان شهید نجاریان تا میدان مددی  دانشگاه راه دانش، گلستان 9 تا تربیت معلم و پزشک قانونی
1404/05/16,10:35,***,بی برنامه,33- میدان فاضل تا سلطان محمد طاهر سمت چپ، محمود اباد، شهرک ولیعصر،روستای رمنت (کوچه های فیضیه و گلزار )
1404/05/16,10:35,***,بی برنامه,34-  میدان فاضل تا میدان هادی نوروزی بلوار یاسینی کشاورزی بسمت طلائیه - جاده قائم شهراز میدان هادی نوروزی ضلع شمالی تا مازیار صنعت ،کبودکلا و سیدآباد ، دریکنده،چمازکلا شمالی، گرجی آباد شمالی ، کوچه خجسته، شهرک مهر ولایت،
1404/05/16,10:35,***,بی برنامه,35- از میدان هادی نورزی تا انتهای روستای هریکنده و مناطق(شهرک بذری، گوهر دشت و علمدار و گرجی اباد جنوبی، قسمتی از میرودپشت )
1404/05/16,10:35,***,بی برنامه,36- شهرک صنعتی منصورکنده
1404/05/16,10:35,***,بی برنامه,37-حوالی پاساژ عبدالهی (فیضیه 1 تا 21)، میدان بزاز تا سه راه سنگ پل و تا میدان آستانه، کوچه های (ایثار 26 تا 56  و 27 تا 51) و (هادی 14 تا 22 و  9 تا 19)  و- ایثار 34کوچه شفق -و ایثار 29 بسمت مدرسه صبوری گوچه های شیخ کبیر 2تا 12 و ملانصیرایی 1تا 13
1404/05/16,10:35,***,بی برنامه,84-فیضیه 14-از انتهای طالقانی 5تا  کوچه گرمابه خزر تا سه راه حیدرکلا - واز سه راه حیدر کلا بسمت کوچه شهید فیروزجایی - حیدر 7تا 17 و 10تا 26
1404/05/16,10:35,***,بی برنامه,بابل
1404/05/16,10:35,***,بی برنامه,خ نواب 4راه شهدا و گلشن وايثار19تا25
1404/05/16,10:35,***,بی برنامه,خيابان بسطامي و مدرس و خ حريري
1404/05/16,10:35,***,بی برنامه,19- از پل حبیبی تا پائین سرست وتا کشتله، شوب محله و مجموعه صنعتی برادان ابراهیمیان،  ملاکلا، دلاورکلا، درزیکلا آخوندی و نصیرایی، حاجی کلا، ارمک، سوربن، تاریکلا، پایین سرست  تا کشتله شوب محله و چاری
1404/05/16,10:35,***,بی برنامه,20- شهرک فرهنگیان  (فلسطین13، 19، 21 و 23)  منطقه پل محمدحسن خان، روبروی زندان متی کلا، روستاهایی ترک محله و نجارکلا، قسمتی از ملاکلا و باغ سجادی، قسمتی از ارشاد 10 و ارشاد14 و محله چنگیز خانی کوچه های فجر
1404/05/16,10:35,***,بی برنامه,21- شهرک امام، شهرک انقلاب، کمانگر کلا، کوچه جمال ، قسمتی از درزیکلا نصیرایی، شهرک شمال 1 و 2
1404/05/16,10:35,***,بی برنامه,22- ابتدای پل حبیبی تا میدان گتاب، روستاهای  کلاگرمحله، دونه سر،  شیرسوار،  بالاسرست، کفشگرکلا،  بنگرکلا،  زعفران کلا، کاسمان کلا و شهرگتاب خیابان های فرهنگ و سنگ رود
1404/05/16,10:35,***,بی برنامه,23- شهرک آزادگان، شهرک چمران و ارشاد 6 تا  سه راه نوآباد، بازار روز امام رضا  و قسمتی از بحر ارم شرقی و خیابان شهید صالحی کوچه های حسینی
1404/05/16,10:35,***,بی برنامه,25- باغ ثباتی، بین کارگر تا انتهای موزیرج، خ شهید صالحی از حسینی 1 تا سید ذکریا
1404/05/16,10:35,***,بی برنامه,26- خیابان سرگرد قاسمی، اکبرین، از میدان دانشگاه تا کوچه ایرانسل کوچه های دانش
1404/05/16,10:35,***,بی برنامه,27- بیمارستان آیت اله روحانی، کلینیک های دندانپزشکی و امید
1404/05/16,10:35,***,بی برنامه,28- پارک بانوان ، بلوار ابوالحسنی از میدان میرزاجانزاده تا باغ پهلوان  کوچه های پورگنجی، سیاهکلا محله کوچه های کشاورز و باغ ماهوتی، روشن آباد کوچه های روشن و میرودپشت کوچه های میرود
1404/05/16,10:35,***,بی برنامه,بابل
